epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,63.8515,0.76,0.58182,1.06552,0.90236,0.75424,0.8316,0.53008,1.23158,0.67053,1.27414,0.00994536,0.00331512,0.00994536,0.00331512,0.00994536,0.00331512,0.00994536,0.00331512
2,110.837,0.79237,0.6021,1.06423,0.87342,0.72546,0.81217,0.50316,1.31345,0.72645,1.32498,0.0199059,0.00663529,0.0199059,0.00663529,0.0199059,0.00663529,0.0199059,0.00663529
3,156.773,0.84586,0.65936,1.08394,0.8454,0.7452,0.79188,0.48504,1.30717,0.81047,1.3579,0.0298268,0.00994226,0.0298268,0.00994226,0.0298268,0.00994226,0.0298268,0.00994226
4,200.642,0.89664,0.71714,1.11093,0.85174,0.70271,0.76348,0.44202,1.43756,0.85929,1.42735,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,244.776,0.91346,0.74505,1.12008,0.78718,0.65448,0.70454,0.39709,1.53006,0.93683,1.50005,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,288.447,0.91736,0.74532,1.12024,0.82582,0.70139,0.76454,0.44476,1.41868,0.86469,1.4252,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,329.046,0.91582,0.73883,1.11886,0.8208,0.66287,0.7293,0.38649,1.54593,0.93033,1.5245,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,369.591,0.92885,0.76049,1.12708,0.83081,0.69914,0.76123,0.43701,1.47019,0.85221,1.44812,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,411.936,0.92541,0.75259,1.12633,0.85315,0.68421,0.75779,0.44484,1.38147,0.84774,1.40569,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,454.405,0.92828,0.75232,1.12755,0.82892,0.69337,0.76868,0.43832,1.45971,0.85144,1.45752,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
