epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,619.029,1.40289,2.79618,1.49597,0.4394,0.3744,0.34129,0.16741,1.77242,2.42679,1.73362,0.00023654,0.00023654,0.00023654
2,1191.84,1.31854,1.8704,1.44558,0.52258,0.41878,0.39262,0.16772,1.87591,2.19356,1.82617,0.000469842,0.000469842,0.000469842
3,1764.59,1.27512,1.69003,1.41529,0.6278,0.40188,0.44401,0.19503,1.91605,2.24085,1.92676,0.000698432,0.000698432,0.000698432
4,2344.46,1.25176,1.59814,1.39241,0.56142,0.53621,0.52441,0.24159,1.81833,1.9827,1.77994,0.000692794,0.000692794,0.000692794
