epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5369,1.40943,3.16728,1.47181,0.42674,0.33273,0.32313,0.12705,1.95232,2.16875,1.8353,0.00023654,0.00023654,0.00023654
2,85.6391,1.33701,1.96849,1.4424,0.54616,0.40681,0.43308,0.19423,1.91387,1.91211,1.85939,0.000472191,0.000472191,0.000472191
3,121.785,1.30247,1.70285,1.41191,0.58789,0.42891,0.45193,0.18752,1.89462,1.84028,1.9017,0.000705486,0.000705486,0.000705486
4,153.469,1.27142,1.62387,1.39529,0.57228,0.48516,0.49163,0.22213,1.87032,1.69829,1.86025,0.000703397,0.000703397,0.000703397
5,185.717,1.22966,1.54319,1.3768,0.65119,0.4613,0.52183,0.23345,1.88066,1.64932,1.88962,0.000699863,0.000699863,0.000699863
6,219.11,1.2208,1.47209,1.35287,0.63221,0.51897,0.55399,0.24245,1.8507,1.58583,1.78891,0.000696328,0.000696328,0.000696328
7,251.838,1.18993,1.41717,1.33545,0.65881,0.49446,0.56151,0.25413,1.86467,1.5503,1.80294,0.000692794,0.000692794,0.000692794
8,283.716,1.1812,1.3694,1.32468,0.71466,0.5536,0.57489,0.26168,1.82153,1.53465,1.7441,0.00068926,0.00068926,0.00068926
9,314.797,1.15275,1.33439,1.31096,0.69805,0.54136,0.59933,0.27934,1.80994,1.37591,1.77182,0.000685726,0.000685726,0.000685726
10,345.245,1.14704,1.28828,1.30157,0.73994,0.54618,0.60897,0.2806,1.86397,1.37694,1.76674,0.000682191,0.000682191,0.000682191
11,376.075,1.13841,1.26905,1.30035,0.76726,0.54318,0.62945,0.30846,1.70989,1.36846,1.66143,0.000678657,0.000678657,0.000678657
12,406.463,1.1276,1.24386,1.28605,0.73406,0.53232,0.59168,0.27489,1.81991,1.432,1.75712,0.000675123,0.000675123,0.000675123
13,436.977,1.11732,1.22514,1.28194,0.77273,0.56086,0.62595,0.32463,1.70976,1.33412,1.68954,0.000671588,0.000671588,0.000671588
14,467.419,1.10932,1.18668,1.26667,0.77126,0.54737,0.61977,0.31116,1.6493,1.28302,1.62532,0.000668054,0.000668054,0.000668054
