epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5056,1.57665,3.17966,1.60495,0.35347,0.34496,0.2756,0.09136,2.25972,2.41804,2.08889,0.00023654,0.00023654,0.00023654
2,74.1659,1.46675,2.02856,1.55385,0.45665,0.36836,0.34699,0.11235,2.30339,2.06319,2.12553,0.000472191,0.000472191,0.000472191
3,105.989,1.43233,1.81223,1.53485,0.56338,0.39165,0.41635,0.13675,2.30751,1.93653,2.21088,0.000705486,0.000705486,0.000705486
4,139.408,1.41477,1.73452,1.51578,0.56434,0.45304,0.46811,0.15753,2.31199,1.83634,2.21984,0.000703397,0.000703397,0.000703397
5,171.995,1.37686,1.64627,1.48378,0.60194,0.4574,0.48442,0.17253,2.21292,1.95225,2.08218,0.000699863,0.000699863,0.000699863
6,204.645,1.34996,1.55487,1.45516,0.65607,0.48641,0.51588,0.18847,2.22728,1.66905,2.05971,0.000696328,0.000696328,0.000696328
7,235.79,1.32285,1.50519,1.4502,0.65707,0.4658,0.51529,0.18935,2.18294,1.67365,2.05517,0.000692794,0.000692794,0.000692794
8,266.401,1.30871,1.46914,1.43167,0.67861,0.48435,0.53298,0.17238,2.27587,1.66893,2.10095,0.00068926,0.00068926,0.00068926
9,297.76,1.3069,1.42287,1.42513,0.71947,0.49791,0.55311,0.18902,2.23497,1.61985,2.10304,0.000685726,0.000685726,0.000685726
10,329.294,1.28705,1.39358,1.41062,0.61737,0.51564,0.52561,0.17156,2.31869,1.6291,2.14617,0.000682191,0.000682191,0.000682191
11,359.108,1.27425,1.35927,1.40234,0.70991,0.52295,0.56994,0.21293,2.17385,1.5218,1.98876,0.000678657,0.000678657,0.000678657
12,389.508,1.25967,1.32984,1.3949,0.74129,0.53056,0.58779,0.22965,2.08743,1.4926,1.94373,0.000675123,0.000675123,0.000675123
13,420.223,1.2481,1.29632,1.38142,0.73894,0.55118,0.60729,0.23791,2.09684,1.43616,1.97475,0.000671588,0.000671588,0.000671588
14,449.953,1.23036,1.25618,1.36777,0.69047,0.55407,0.59442,0.21303,2.22237,1.44409,2.05647,0.000668054,0.000668054,0.000668054
15,480.64,1.23048,1.24692,1.36539,0.71248,0.54775,0.59126,0.25949,1.93446,1.48224,1.83312,0.00066452,0.00066452,0.00066452
16,513.961,1.2204,1.22662,1.35497,0.78071,0.57117,0.63556,0.27802,1.93432,1.31354,1.80159,0.000660986,0.000660986,0.000660986
17,548.573,1.2034,1.20432,1.35672,0.69332,0.52198,0.56332,0.26068,1.84522,1.48289,1.77518,0.000657451,0.000657451,0.000657451
18,578.673,1.20774,1.1859,1.34713,0.73588,0.58441,0.62167,0.25131,2.08202,1.41843,1.96927,0.000653917,0.000653917,0.000653917
19,615.481,1.19723,1.1746,1.34528,0.76936,0.57551,0.63821,0.28972,1.99006,1.32769,1.85785,0.000650383,0.000650383,0.000650383
20,657.742,1.19334,1.15033,1.33188,0.77582,0.60707,0.6554,0.29795,1.8946,1.27555,1.78462,0.000646848,0.000646848,0.000646848
21,693.93,1.17886,1.13408,1.32638,0.76778,0.59969,0.65544,0.28147,2.00634,1.28611,1.85504,0.000643314,0.000643314,0.000643314
22,726.139,1.17066,1.12065,1.32267,0.76887,0.58552,0.62679,0.27869,1.92154,1.27471,1.83071,0.00063978,0.00063978,0.00063978
23,756.866,1.17426,1.1087,1.3204,0.79232,0.55265,0.63247,0.27144,1.97374,1.28806,1.82263,0.000636245,0.000636245,0.000636245
24,788.453,1.16964,1.1045,1.31567,0.7999,0.57143,0.64458,0.27603,2.10302,1.31342,2.00825,0.000632711,0.000632711,0.000632711
25,821.715,1.1561,1.08304,1.30852,0.77998,0.58969,0.65608,0.30803,1.85926,1.23081,1.75993,0.000629177,0.000629177,0.000629177
26,854.521,1.15444,1.07521,1.30241,0.76551,0.58503,0.64107,0.28715,1.9442,1.28118,1.83818,0.000625642,0.000625642,0.000625642
27,892.424,1.14918,1.07516,1.30663,0.79579,0.56117,0.65942,0.31149,1.8103,1.27063,1.71719,0.000622108,0.000622108,0.000622108
28,934.927,1.15426,1.06917,1.30495,0.78277,0.59734,0.66358,0.30846,1.80407,1.19043,1.73471,0.000618574,0.000618574,0.000618574
29,974.686,1.13292,1.04087,1.29042,0.85602,0.60123,0.68353,0.28426,2.03424,1.22371,1.91187,0.00061504,0.00061504,0.00061504
30,1014.23,1.13092,1.0317,1.28783,0.75264,0.60574,0.65722,0.2976,1.93132,1.1912,1.81649,0.000611505,0.000611505,0.000611505
31,1053.69,1.13108,1.0281,1.28637,0.82529,0.57434,0.66776,0.29486,1.87146,1.16587,1.78812,0.000607971,0.000607971,0.000607971
32,1093.73,1.13299,1.01077,1.28507,0.78607,0.60243,0.66431,0.22151,2.39728,1.29037,2.25798,0.000604437,0.000604437,0.000604437
33,1132.06,1.12412,1.00593,1.27332,0.8218,0.59233,0.67091,0.32015,1.77342,1.1997,1.70329,0.000600902,0.000600902,0.000600902
34,1171.03,1.12392,0.99934,1.27987,0.82651,0.62776,0.69645,0.32966,1.84681,1.11952,1.73487,0.000597368,0.000597368,0.000597368
35,1205.31,1.11447,0.99221,1.27417,0.82634,0.6075,0.69138,0.30971,1.93552,1.16157,1.82698,0.000593834,0.000593834,0.000593834
36,1239.38,1.12299,0.99011,1.27239,0.8265,0.63718,0.71473,0.32568,1.85412,1.10628,1.76922,0.0005903,0.0005903,0.0005903
37,1273.59,1.09722,0.97321,1.26164,0.77506,0.64756,0.70919,0.37726,1.6567,1.05462,1.58059,0.000586765,0.000586765,0.000586765
38,1308.12,1.10734,0.9666,1.26441,0.82785,0.62805,0.68647,0.35264,1.76166,1.10611,1.64908,0.000583231,0.000583231,0.000583231
39,1342.95,1.09182,0.96332,1.2589,0.80498,0.62906,0.68786,0.32119,1.8511,1.10953,1.74531,0.000579697,0.000579697,0.000579697
40,1377.4,1.08853,0.95371,1.25614,0.83347,0.63212,0.70506,0.34113,1.82389,1.12928,1.72071,0.000576162,0.000576162,0.000576162
41,1408.71,1.09442,0.956,1.26209,0.79686,0.67183,0.71406,0.31808,1.90586,1.09699,1.76858,0.000572628,0.000572628,0.000572628
42,1438.36,1.08808,0.95448,1.25801,0.81767,0.63038,0.70176,0.33397,1.78716,1.07298,1.70764,0.000569094,0.000569094,0.000569094
43,1471.83,1.07686,0.93159,1.24304,0.81838,0.64494,0.72538,0.36422,1.73232,1.04016,1.65201,0.000565559,0.000565559,0.000565559
44,1506.36,1.07115,0.91628,1.23994,0.81704,0.6419,0.70862,0.3293,1.82823,1.08933,1.75691,0.000562025,0.000562025,0.000562025
45,1537.38,1.078,0.91757,1.24555,0.84243,0.63391,0.70035,0.28697,2.10623,1.14946,2.01684,0.000558491,0.000558491,0.000558491
46,1569.14,1.07379,0.91881,1.24161,0.834,0.63651,0.69655,0.30879,1.86092,1.09623,1.77171,0.000554956,0.000554956,0.000554956
47,1600.14,1.05745,0.90145,1.22842,0.85705,0.65463,0.73801,0.30457,1.99055,1.05151,1.87586,0.000551422,0.000551422,0.000551422
48,1631.31,1.06366,0.91005,1.23621,0.83142,0.63028,0.70253,0.30669,1.91377,1.07191,1.84252,0.000547888,0.000547888,0.000547888
49,1663.65,1.06592,0.90678,1.23664,0.83012,0.6597,0.73253,0.38907,1.58788,0.98175,1.54947,0.000544354,0.000544354,0.000544354
50,1699.19,1.06593,0.90563,1.23193,0.84476,0.66268,0.73804,0.37276,1.74476,0.99489,1.65299,0.000540819,0.000540819,0.000540819
51,1731.24,1.05084,0.8865,1.22616,0.8463,0.63114,0.71531,0.37471,1.66907,1.04281,1.59021,0.000537285,0.000537285,0.000537285
52,1763.09,1.05386,0.88105,1.22239,0.81861,0.67343,0.73102,0.32158,1.95008,1.05585,1.82121,0.000533751,0.000533751,0.000533751
