epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,76.8898,1.49261,2.82825,1.52761,0.47426,0.39997,0.39226,0.18593,1.73698,1.87574,1.67397,0.00995455,0.00331818,0.00995455,0.00331818,0.00995455,0.00331818,0.00995455,0.00331818
2,131.331,1.39987,1.7973,1.47086,0.66529,0.37371,0.43265,0.19596,1.79977,1.82705,1.76627,0.0199052,0.00663505,0.0199052,0.00663505,0.0199052,0.00663505,0.0199052,0.00663505
3,181.838,1.42993,1.77088,1.47772,0.44029,0.34407,0.30913,0.13732,2.01535,2.30765,1.97698,0.0298063,0.00993542,0.0298063,0.00993542,0.0298063,0.00993542,0.0298063,0.00993542
4,231.036,1.45204,1.79291,1.50311,0.50018,0.34026,0.32645,0.1487,2.0111,2.51352,1.95766,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
5,280.106,1.4163,1.69428,1.47716,0.56516,0.40634,0.42031,0.17608,2.04787,1.88011,1.97168,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
6,329.2,1.39155,1.61889,1.45391,0.61321,0.42045,0.44262,0.21052,1.91858,1.88098,1.84709,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
7,378.413,1.37807,1.54922,1.43343,0.61873,0.45386,0.48656,0.23429,1.88022,1.69704,1.82275,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
8,427.133,1.35252,1.50479,1.42643,0.6781,0.47432,0.51145,0.23504,1.85564,1.58049,1.80844,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
9,476.204,1.33686,1.45946,1.4147,0.70157,0.4576,0.5254,0.25019,1.78119,1.48225,1.75433,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
10,525.736,1.33258,1.43553,1.40833,0.69302,0.48735,0.52937,0.24946,1.83562,1.60456,1.79688,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
11,575.209,1.31013,1.38829,1.38874,0.67888,0.50043,0.54527,0.25445,1.81918,1.50304,1.76876,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
12,624.335,1.29728,1.35659,1.38179,0.66122,0.49117,0.53392,0.25806,1.83438,1.45931,1.75347,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
13,673.739,1.29011,1.32784,1.37645,0.69472,0.55104,0.58849,0.29564,1.7636,1.39625,1.70455,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
14,722.664,1.28298,1.3159,1.36708,0.67192,0.49622,0.54616,0.2634,1.8642,1.46898,1.78182,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825
15,771.987,1.27694,1.27515,1.35703,0.72385,0.51579,0.56817,0.27855,1.82921,1.44284,1.78388,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
16,821.167,1.25929,1.26798,1.34946,0.66205,0.54617,0.57225,0.28482,1.81312,1.33296,1.74505,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
