epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,102.299,1.4183,1.90389,1.47463,0.68587,0.45654,0.53746,0.26268,1.70252,1.55597,1.57548,0.00995455,0.00331818,0.00995455,0.00331818,0.00995455,0.00331818,0.00995455,0.00331818
2,178.835,1.30321,1.36525,1.36592,0.60458,0.51142,0.54588,0.25626,1.86509,1.53913,1.70305,0.0199242,0.00664138,0.0199242,0.00664138,0.0199242,0.00664138,0.0199242,0.00664138
3,250.732,1.36763,1.46259,1.39956,0.53298,0.42017,0.41571,0.19144,2.00704,1.93257,1.8954,0.0298633,0.00995443,0.0298633,0.00995443,0.0298633,0.00995443,0.0298633,0.00995443
4,321.893,1.40502,1.55232,1.44834,0.60631,0.47185,0.4792,0.21612,1.91791,1.8009,1.85336,0.0298629,0.00995431,0.0298629,0.00995431,0.0298629,0.00995431,0.0298629,0.00995431
5,392.593,1.37762,1.49894,1.4341,0.55089,0.42723,0.41743,0.1912,2.04096,1.94755,2.00611,0.0298172,0.00993908,0.0298172,0.00993908,0.0298172,0.00993908,0.0298172,0.00993908
6,463.886,1.34099,1.42632,1.41098,0.65192,0.46678,0.50724,0.24068,1.8529,1.60927,1.79615,0.0297715,0.00992385,0.0297715,0.00992385,0.0297715,0.00992385,0.0297715,0.00992385
7,533.795,1.32942,1.36189,1.3912,0.63773,0.5345,0.56343,0.26852,1.79362,1.43508,1.75506,0.0297258,0.00990862,0.0297258,0.00990862,0.0297258,0.00990862,0.0297258,0.00990862
8,605.258,1.30316,1.31362,1.38131,0.76038,0.52273,0.5889,0.28336,1.86011,1.34859,1.79395,0.0296802,0.00989338,0.0296802,0.00989338,0.0296802,0.00989338,0.0296802,0.00989338
9,676.893,1.28223,1.26466,1.36896,0.72695,0.5167,0.57956,0.28599,1.82547,1.31953,1.74366,0.0296345,0.00987815,0.0296345,0.00987815,0.0296345,0.00987815,0.0296345,0.00987815
10,748.088,1.27345,1.23642,1.35569,0.73714,0.53174,0.59072,0.30534,1.7069,1.32543,1.65593,0.0295888,0.00986292,0.0295888,0.00986292,0.0295888,0.00986292,0.0295888,0.00986292
11,819.288,1.2449,1.19749,1.33756,0.7114,0.56282,0.60263,0.29169,1.74764,1.28386,1.67605,0.0295431,0.00984769,0.0295431,0.00984769,0.0295431,0.00984769,0.0295431,0.00984769
12,890.279,1.23176,1.17,1.33157,0.7325,0.53414,0.59372,0.28268,1.86473,1.40888,1.75099,0.0294974,0.00983246,0.0294974,0.00983246,0.0294974,0.00983246,0.0294974,0.00983246
13,961.233,1.22075,1.13616,1.32469,0.78847,0.57134,0.63258,0.33508,1.73782,1.16861,1.65152,0.0294517,0.00981723,0.0294517,0.00981723,0.0294517,0.00981723,0.0294517,0.00981723
14,1032.35,1.2091,1.12164,1.3141,0.72185,0.58892,0.6305,0.31874,1.73689,1.21939,1.69507,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
15,1103.13,1.19608,1.0839,1.30223,0.70208,0.60392,0.62491,0.31248,1.73839,1.17296,1.67675,0.0293603,0.00978677,0.0293603,0.00978677,0.0293603,0.00978677,0.0293603,0.00978677
16,1174.15,1.18121,1.06691,1.29131,0.7717,0.59425,0.65159,0.32382,1.79879,1.09258,1.70524,0.0293146,0.00977154,0.0293146,0.00977154,0.0293146,0.00977154,0.0293146,0.00977154
17,1245.08,1.17557,1.0402,1.28366,0.74261,0.60598,0.65532,0.33856,1.73722,1.14786,1.65484,0.0292689,0.00975631,0.0292689,0.00975631,0.0292689,0.00975631,0.0292689,0.00975631
18,1316.37,1.14616,1.02099,1.26903,0.75435,0.61315,0.64619,0.32381,1.76983,1.13616,1.66375,0.0292232,0.00974108,0.0292232,0.00974108,0.0292232,0.00974108,0.0292232,0.00974108
19,1386.88,1.14577,0.99948,1.26703,0.81469,0.58734,0.6602,0.33101,1.74503,1.13971,1.65184,0.0291775,0.00972585,0.0291775,0.00972585,0.0291775,0.00972585,0.0291775,0.00972585
20,1457.96,1.14905,0.99435,1.26881,0.76936,0.62777,0.67681,0.35632,1.69541,1.02475,1.62246,0.0291318,0.00971062,0.0291318,0.00971062,0.0291318,0.00971062,0.0291318,0.00971062
21,1529.03,1.12843,0.97113,1.2571,0.79761,0.64377,0.67636,0.34997,1.6595,0.99927,1.59748,0.0290862,0.00969538,0.0290862,0.00969538,0.0290862,0.00969538,0.0290862,0.00969538
22,1599.9,1.12718,0.96937,1.2542,0.75173,0.61747,0.66407,0.35206,1.66382,1.07067,1.62639,0.0290405,0.00968015,0.0290405,0.00968015,0.0290405,0.00968015,0.0290405,0.00968015
23,1671.13,1.12497,0.94446,1.24778,0.79141,0.61283,0.66699,0.34636,1.67763,1.05285,1.62425,0.0289948,0.00966492,0.0289948,0.00966492,0.0289948,0.00966492,0.0289948,0.00966492
24,1741.96,1.10927,0.93843,1.24061,0.83879,0.65876,0.71012,0.3749,1.66705,0.98094,1.5896,0.0289491,0.00964969,0.0289491,0.00964969,0.0289491,0.00964969,0.0289491,0.00964969
25,1813.3,1.09614,0.91261,1.23534,0.76592,0.63541,0.67088,0.35034,1.72337,1.04362,1.66239,0.0289034,0.00963446,0.0289034,0.00963446,0.0289034,0.00963446,0.0289034,0.00963446
26,1884.17,1.09899,0.89673,1.22938,0.84522,0.64362,0.72933,0.36512,1.6859,0.94686,1.61621,0.0288577,0.00961923,0.0288577,0.00961923,0.0288577,0.00961923,0.0288577,0.00961923
27,1955.03,1.08228,0.89655,1.22672,0.79949,0.63577,0.6685,0.34437,1.78568,1.01791,1.68398,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
28,2026.06,1.07827,0.87373,1.2131,0.83266,0.63769,0.7046,0.36235,1.68318,0.96766,1.58997,0.0287663,0.00958877,0.0287663,0.00958877,0.0287663,0.00958877,0.0287663,0.00958877
29,2097.01,1.07347,0.86798,1.21375,0.78717,0.66235,0.70139,0.36373,1.74282,0.95837,1.63384,0.0287206,0.00957354,0.0287206,0.00957354,0.0287206,0.00957354,0.0287206,0.00957354
30,2168.3,1.06404,0.85719,1.20445,0.81872,0.66535,0.7001,0.36395,1.7195,0.94484,1.65701,0.0286749,0.00955831,0.0286749,0.00955831,0.0286749,0.00955831,0.0286749,0.00955831
31,2239.21,1.06484,0.85392,1.20338,0.8004,0.64077,0.69815,0.36519,1.66365,0.95363,1.58957,0.0286292,0.00954308,0.0286292,0.00954308,0.0286292,0.00954308,0.0286292,0.00954308
32,2309.94,1.05562,0.84051,1.19914,0.80485,0.65011,0.69116,0.3823,1.61873,0.93634,1.54556,0.0285835,0.00952785,0.0285835,0.00952785,0.0285835,0.00952785,0.0285835,0.00952785
33,2380.96,1.04932,0.83339,1.19111,0.81203,0.62941,0.69107,0.34702,1.74609,0.97717,1.62599,0.0285378,0.00951262,0.0285378,0.00951262,0.0285378,0.00951262,0.0285378,0.00951262
34,2451.67,1.03701,0.81758,1.18881,0.79656,0.64799,0.68935,0.36293,1.68707,0.95254,1.62018,0.0284922,0.00949738,0.0284922,0.00949738,0.0284922,0.00949738,0.0284922,0.00949738
35,2522.27,1.03928,0.81574,1.18518,0.79689,0.65047,0.6948,0.3696,1.68728,0.9062,1.59234,0.0284465,0.00948215,0.0284465,0.00948215,0.0284465,0.00948215,0.0284465,0.00948215
36,2593.22,1.025,0.81185,1.17858,0.76296,0.67313,0.69041,0.37298,1.64725,0.97089,1.58007,0.0284008,0.00946692,0.0284008,0.00946692,0.0284008,0.00946692,0.0284008,0.00946692
37,2664.03,1.02686,0.80568,1.18247,0.81559,0.63865,0.69807,0.37634,1.70644,0.95087,1.61231,0.0283551,0.00945169,0.0283551,0.00945169,0.0283551,0.00945169,0.0283551,0.00945169
