epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,96.7593,1.4183,1.90389,1.47463,0.68587,0.45654,0.53746,0.26268,1.70252,1.55597,1.57548,0.00995455,0.00331818,0.00995455,0.00331818,0.00995455,0.00331818,0.00995455,0.00331818
2,172.506,1.30072,1.36008,1.36267,0.64204,0.5131,0.55027,0.26137,1.85947,1.47096,1.72722,0.019915,0.00663835,0.019915,0.00663835,0.019915,0.00663835,0.019915,0.00663835
3,244.015,1.36687,1.47036,1.40407,0.53454,0.45094,0.43046,0.1981,1.94958,2.20815,1.84837,0.0298359,0.00994531,0.0298359,0.00994531,0.0298359,0.00994531,0.0298359,0.00994531
4,314.834,1.39988,1.54552,1.44247,0.5171,0.42601,0.40882,0.18386,2.07144,2.36212,1.93623,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,385.214,1.37503,1.48808,1.42957,0.64018,0.46104,0.48949,0.22062,2.00051,1.75762,1.89885,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,455.674,1.33937,1.41519,1.40675,0.64125,0.48823,0.51633,0.24152,1.89994,1.68588,1.81037,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,526.364,1.33529,1.36205,1.39195,0.71073,0.48878,0.55633,0.26496,1.86964,1.42383,1.82646,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,597.178,1.30003,1.30891,1.37926,0.67646,0.50355,0.55863,0.26369,1.87437,1.46552,1.79433,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,667.756,1.28483,1.26116,1.36424,0.74809,0.54546,0.59418,0.28504,1.88972,1.30081,1.78642,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,739.093,1.27276,1.2301,1.34971,0.73421,0.55941,0.61094,0.30433,1.75959,1.32126,1.71546,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
