epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2293.44,1.06025,0.84639,1.20086,0.80697,0.64767,0.70475,0.36358,1.72976,0.95235,1.59247,0.0275391,0.00917971,0.0275391,0.00917971,0.0275391,0.00917971,0.0275391,0.00917971
31,2365.04,1.05999,0.84795,1.19961,0.83174,0.65209,0.71512,0.36691,1.63971,0.97382,1.55601,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
32,2441.25,1.05055,0.83472,1.19507,0.78968,0.63146,0.66894,0.33826,1.7439,0.97854,1.64027,0.0273694,0.00912314,0.0273694,0.00912314,0.0273694,0.00912314,0.0273694,0.00912314
33,2515.82,1.04492,0.82657,1.18871,0.7862,0.63085,0.67328,0.33891,1.74637,1.00809,1.63328,0.0272846,0.00909486,0.0272846,0.00909486,0.0272846,0.00909486,0.0272846,0.00909486
34,2590.57,1.03065,0.81525,1.18705,0.79147,0.66946,0.69755,0.36638,1.66154,0.9139,1.57009,0.0271997,0.00906657,0.0271997,0.00906657,0.0271997,0.00906657,0.0271997,0.00906657
35,2665.31,1.03131,0.80722,1.18454,0.81724,0.6833,0.72458,0.38817,1.67702,0.89219,1.5559,0.0271149,0.00903829,0.0271149,0.00903829,0.0271149,0.00903829,0.0271149,0.00903829
36,2740.56,1.02394,0.80477,1.17499,0.78896,0.67917,0.71772,0.37494,1.66033,0.90973,1.57248,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
37,2815.36,1.01881,0.79347,1.17652,0.77058,0.63852,0.67931,0.36553,1.71914,0.94711,1.62763,0.0269451,0.00898171,0.0269451,0.00898171,0.0269451,0.00898171,0.0269451,0.00898171
38,2889.8,1.01385,0.78643,1.17591,0.84726,0.66636,0.72607,0.40018,1.60903,0.8652,1.54661,0.0268603,0.00895343,0.0268603,0.00895343,0.0268603,0.00895343,0.0268603,0.00895343
39,2964.83,1.00318,0.77993,1.1665,0.83105,0.65338,0.71225,0.38816,1.61861,0.91045,1.56478,0.0267754,0.00892514,0.0267754,0.00892514,0.0267754,0.00892514,0.0267754,0.00892514
