epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,62.4889,1.45476,2.94509,1.51823,0.44628,0.35356,0.3179,0.14505,1.84512,2.04512,1.76263,0.00994536,0.00331512,0.00994536,0.00331512,0.00994536,0.00331512,0.00994536,0.00331512
2,110.58,1.36324,1.84558,1.45786,0.45696,0.38636,0.37127,0.16615,1.88992,2.04478,1.83746,0.0198795,0.00662651,0.0198795,0.00662651,0.0198795,0.00662651,0.0198795,0.00662651
3,150.827,1.37607,1.78426,1.45872,0.43256,0.37548,0.33067,0.13341,2.13809,2.38754,2.12018,0.0297477,0.00991591,0.0297477,0.00991591,0.0297477,0.00991591,0.0297477,0.00991591
4,188.772,1.3962,1.81533,1.4882,0.36755,0.22728,0.1825,0.08111,2.28334,2.83048,2.25386,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,226.295,1.37572,1.72932,1.47266,0.45619,0.32081,0.28821,0.12207,2.07464,2.48146,2.01498,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,265.605,1.34507,1.67048,1.46109,0.52767,0.37323,0.37885,0.1701,2.06096,2.21138,2.04748,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,304.969,1.32753,1.59223,1.4358,0.57762,0.45654,0.44405,0.18662,1.99929,1.95434,1.95583,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,343.762,1.31446,1.54782,1.42104,0.63714,0.4455,0.49232,0.22631,1.95965,1.69755,1.9052,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,382.074,1.29316,1.47916,1.40703,0.59812,0.39025,0.42084,0.19849,1.97143,1.88188,1.90978,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,421.991,1.28619,1.46054,1.40276,0.59526,0.39083,0.4115,0.18416,2.02319,1.92224,1.96647,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,461.309,1.27261,1.41094,1.38147,0.6682,0.42647,0.48905,0.22451,1.91917,1.66143,1.89139,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,500.45,1.24667,1.3715,1.3743,0.62056,0.50234,0.53184,0.2345,1.95042,1.59559,1.87762,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,539.762,1.23143,1.35341,1.36756,0.5952,0.51565,0.52816,0.24744,1.85426,1.55106,1.80141,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,579.417,1.23039,1.31861,1.35601,0.71515,0.48063,0.5388,0.25882,1.84945,1.57756,1.83166,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,618.778,1.21521,1.30522,1.35186,0.67562,0.50363,0.53614,0.24326,1.86846,1.61742,1.81717,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,657.891,1.2099,1.27632,1.34165,0.73777,0.53357,0.58361,0.28329,1.8102,1.45388,1.75375,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,697.2,1.20085,1.25397,1.33568,0.77632,0.5027,0.5942,0.28589,1.83837,1.37682,1.76496,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,736.553,1.19665,1.23238,1.32712,0.73879,0.52565,0.58592,0.28851,1.81641,1.39221,1.76273,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,775.804,1.19762,1.22784,1.32535,0.71071,0.53935,0.58271,0.2614,1.83732,1.39404,1.80114,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,815,1.17477,1.19455,1.31316,0.67305,0.47415,0.50649,0.25617,1.91328,1.60508,1.8113,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,854.243,1.16296,1.18437,1.31022,0.67259,0.51739,0.56735,0.26214,1.93764,1.39874,1.874,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,893.428,1.16995,1.16545,1.30343,0.69029,0.52893,0.56531,0.27815,1.84493,1.38366,1.78118,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,932.764,1.1526,1.14767,1.29872,0.74176,0.54521,0.60807,0.30606,1.77622,1.30858,1.72005,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,971.851,1.14897,1.12155,1.28932,0.7438,0.53943,0.5887,0.25927,1.92373,1.36758,1.89711,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1011.04,1.14039,1.12317,1.28808,0.76921,0.58174,0.61926,0.31072,1.75392,1.24667,1.72561,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1050.28,1.14011,1.10345,1.28739,0.72385,0.59066,0.6266,0.30392,1.825,1.24487,1.75843,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1089.71,1.13072,1.10403,1.28306,0.65759,0.55477,0.58071,0.30054,1.75413,1.36829,1.69913,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,1128.66,1.12312,1.09471,1.2788,0.63072,0.57213,0.58713,0.2863,1.86983,1.34501,1.7961,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,1167.87,1.12414,1.08813,1.2733,0.71363,0.56316,0.60529,0.30406,1.79582,1.2442,1.72887,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,1207.08,1.11266,1.066,1.2631,0.73349,0.60023,0.63941,0.32838,1.76651,1.18132,1.68335,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
