epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2439.32,1.06695,0.85116,1.20236,0.77732,0.64596,0.68876,0.35922,1.68106,0.94002,1.61315,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,2515.58,1.04378,0.83165,1.19164,0.82203,0.62765,0.68591,0.36907,1.65812,0.96286,1.58161,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,2594.03,1.03472,0.81752,1.18731,0.83739,0.63429,0.71444,0.36195,1.70488,0.9058,1.60807,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,2676.62,1.02957,0.81122,1.18315,0.82328,0.62453,0.70376,0.36836,1.63275,0.95161,1.56341,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
34,2757.15,1.02766,0.80221,1.18166,0.76283,0.60954,0.67323,0.36098,1.67985,0.99468,1.62198,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
35,2841.53,1.02144,0.80694,1.18191,0.87418,0.65623,0.73189,0.37055,1.67556,0.92448,1.58111,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
36,2921.98,1.02173,0.79686,1.17856,0.81366,0.63464,0.68573,0.37688,1.61596,0.94705,1.54795,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
37,2998.71,1.01562,0.78542,1.16985,0.81256,0.66613,0.70294,0.36924,1.64332,0.92396,1.57123,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
38,3075.94,1.00798,0.77647,1.16703,0.86701,0.68331,0.74677,0.39009,1.62921,0.88366,1.55081,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
39,3154.17,0.99518,0.76847,1.15866,0.87748,0.68993,0.74856,0.39828,1.597,0.8372,1.55789,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
40,3236.9,1.00118,0.76506,1.16062,0.82325,0.66876,0.73311,0.38914,1.63329,0.87596,1.55654,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
41,3327.76,0.99353,0.75123,1.15359,0.82991,0.67636,0.72974,0.39878,1.63346,0.83526,1.56139,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
42,3405.91,0.98919,0.75182,1.1533,0.82648,0.68945,0.72698,0.39278,1.61222,0.8514,1.56719,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
43,3484.93,0.9757,0.74185,1.15104,0.8093,0.68258,0.72649,0.39155,1.60551,0.8589,1.54728,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
44,3563.91,0.97219,0.73208,1.14334,0.85001,0.65661,0.71193,0.38495,1.64165,0.88779,1.58642,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
45,3643.67,0.96707,0.7329,1.14456,0.79827,0.65991,0.70184,0.37533,1.67782,0.8853,1.60979,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
46,3722.58,0.96368,0.72411,1.13549,0.80256,0.65914,0.70459,0.38954,1.65066,0.91665,1.562,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
47,3799.09,0.95928,0.71548,1.13678,0.78081,0.66704,0.6984,0.38073,1.66644,0.88192,1.59282,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
48,3876.44,0.96016,0.72289,1.1354,0.81439,0.68564,0.71241,0.3841,1.64735,0.84248,1.58756,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
49,3962.48,0.9437,0.70266,1.12824,0.81223,0.69778,0.73666,0.3976,1.59314,0.81044,1.54259,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
50,4040.32,0.94624,0.70748,1.12946,0.80019,0.66777,0.70667,0.39566,1.60994,0.81904,1.54965,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
51,4123.64,0.94235,0.70917,1.13151,0.82903,0.67082,0.73355,0.40211,1.5694,0.81891,1.54603,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
52,4203.96,0.93722,0.69032,1.12348,0.8609,0.66057,0.73606,0.40959,1.59831,0.83059,1.57095,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
53,4281.99,0.93339,0.68812,1.11798,0.83294,0.68118,0.738,0.41066,1.58221,0.82775,1.53186,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
54,4360.49,0.93191,0.68483,1.11894,0.78055,0.69408,0.7201,0.40014,1.60086,0.82355,1.53976,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
55,4445.56,0.93467,0.68721,1.11893,0.82567,0.68976,0.74689,0.42108,1.55344,0.81636,1.49133,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
56,4525.89,0.9319,0.68805,1.11995,0.79692,0.70014,0.7226,0.39451,1.68339,0.84417,1.57785,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
57,4606.12,0.91351,0.668,1.11462,0.85646,0.66431,0.71828,0.39782,1.61698,0.79968,1.53599,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
58,4687.13,0.91155,0.66845,1.10902,0.86586,0.66297,0.74692,0.41516,1.62283,0.80148,1.54455,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
59,4767.5,0.91355,0.66665,1.10773,0.86579,0.69073,0.73818,0.4189,1.57103,0.81267,1.51886,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
60,4847.58,0.91325,0.65615,1.10162,0.81887,0.67976,0.73366,0.42588,1.50444,0.79971,1.45932,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
61,4928.73,0.90785,0.65357,1.10317,0.85022,0.69024,0.73891,0.42537,1.56024,0.77519,1.50647,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
62,5008.53,0.89657,0.6514,1.09871,0.80718,0.70489,0.73061,0.41558,1.58961,0.80487,1.54075,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
63,5086.12,0.89077,0.64197,1.09461,0.83929,0.69793,0.74142,0.41118,1.58211,0.81643,1.52533,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
64,5164.56,0.88944,0.63921,1.09525,0.84213,0.71424,0.75028,0.43205,1.54342,0.7803,1.52012,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
65,5241.91,0.88494,0.63849,1.09194,0.87193,0.7139,0.76245,0.4404,1.50694,0.75501,1.45696,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656
66,5320.89,0.88997,0.63781,1.092,0.87162,0.68602,0.75029,0.43866,1.49884,0.76454,1.48056,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
67,5396.59,0.87539,0.63222,1.08732,0.82772,0.7033,0.73942,0.4208,1.56963,0.77882,1.52359,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864
68,5475.77,0.88403,0.63128,1.08886,0.82113,0.71112,0.75501,0.44105,1.47138,0.77299,1.44585,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468
69,5554.9,0.87779,0.62783,1.08763,0.81563,0.67252,0.72072,0.41612,1.58095,0.80953,1.53222,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072
70,5631.73,0.87859,0.62973,1.08951,0.87566,0.72381,0.76492,0.43905,1.48071,0.75492,1.4535,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676
71,5709.04,0.87141,0.62317,1.08093,0.85413,0.71062,0.74974,0.43703,1.50698,0.75574,1.48767,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
72,5785.24,0.86492,0.62261,1.08191,0.84849,0.7083,0.7447,0.42449,1.54765,0.75845,1.51644,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884
73,5860.67,0.86503,0.62058,1.08101,0.80752,0.69039,0.73318,0.43232,1.51542,0.78231,1.49474,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488
74,5936.47,0.85722,0.61203,1.07752,0.8235,0.68922,0.73051,0.4214,1.57383,0.79978,1.53369,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092
75,6016.22,0.86488,0.61305,1.07854,0.84749,0.68639,0.74554,0.42496,1.52558,0.77522,1.4829,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696
76,6092.37,0.8535,0.60268,1.0716,0.85596,0.72625,0.75768,0.43582,1.48741,0.74894,1.47828,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
77,6171.52,0.85362,0.60063,1.07227,0.81507,0.72217,0.74823,0.43791,1.51328,0.74901,1.47506,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904
