epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,725.637,0.94954,0.87202,1.16119,0.84352,0.64681,0.73238,0.39959,1.59031,1.02085,1.6079,0.000552993,0.000552993,0.000552993
43,741.927,0.94951,0.85224,1.15628,0.85634,0.66497,0.75401,0.4327,1.53494,0.96473,1.54861,0.000549066,0.000549066,0.000549066
44,758.543,0.9388,0.84909,1.14983,0.87905,0.67243,0.75689,0.41834,1.58035,0.95125,1.59625,0.000545139,0.000545139,0.000545139
45,774.735,0.9323,0.83209,1.14624,0.8202,0.69273,0.75702,0.43772,1.48438,0.99242,1.50463,0.000541212,0.000541212,0.000541212
46,791.6,0.94338,0.84826,1.15503,0.85011,0.68884,0.74822,0.4225,1.52415,0.98271,1.55016,0.000537285,0.000537285,0.000537285
47,808.638,0.93921,0.83674,1.14759,0.87997,0.67012,0.75053,0.42328,1.53165,0.96212,1.54674,0.000533358,0.000533358,0.000533358
48,825.659,0.92297,0.82357,1.14039,0.86827,0.68849,0.76093,0.4327,1.47572,0.92095,1.52107,0.000529431,0.000529431,0.000529431
49,842.412,0.91975,0.82055,1.14183,0.86252,0.6926,0.75733,0.40886,1.57639,0.9715,1.59912,0.000525504,0.000525504,0.000525504
50,859.741,0.92514,0.81987,1.14013,0.8569,0.68485,0.75712,0.42992,1.49989,0.94603,1.5366,0.000521577,0.000521577,0.000521577
51,876.456,0.9226,0.81626,1.13859,0.89227,0.67433,0.76119,0.44266,1.50123,0.93103,1.55946,0.00051765,0.00051765,0.00051765
52,893.437,0.91822,0.81789,1.13973,0.86956,0.66931,0.75329,0.42307,1.51783,0.94977,1.54397,0.000513723,0.000513723,0.000513723
53,910.555,0.91192,0.81478,1.13687,0.88293,0.69945,0.76517,0.43807,1.49104,0.90951,1.53453,0.000509796,0.000509796,0.000509796
54,927.846,0.92911,0.80661,1.13726,0.88487,0.67551,0.75513,0.44861,1.47004,0.90626,1.48748,0.000505869,0.000505869,0.000505869
55,946.791,0.9083,0.79797,1.13347,0.86313,0.67131,0.75618,0.44643,1.4515,0.92168,1.4907,0.000501942,0.000501942,0.000501942
56,963.631,0.90959,0.79568,1.12957,0.8806,0.6952,0.76923,0.45232,1.43623,0.87077,1.47584,0.000498015,0.000498015,0.000498015
57,980.367,0.90423,0.78857,1.12856,0.86093,0.69278,0.75098,0.43111,1.49707,0.92489,1.54211,0.000494088,0.000494088,0.000494088
58,996.89,0.90738,0.79235,1.12937,0.86254,0.68272,0.75858,0.44648,1.43622,0.89872,1.4814,0.000490161,0.000490161,0.000490161
59,1013.36,0.89374,0.78704,1.12339,0.87888,0.68503,0.76761,0.4247,1.59122,0.91918,1.60561,0.000486234,0.000486234,0.000486234
60,1029.74,0.89447,0.78001,1.12311,0.87618,0.69461,0.75613,0.44716,1.43073,0.90954,1.48441,0.000482307,0.000482307,0.000482307
61,1046.21,0.89845,0.78346,1.12429,0.87086,0.70616,0.76101,0.45052,1.47659,0.89367,1.52447,0.00047838,0.00047838,0.00047838
62,1062.63,0.88583,0.77734,1.12736,0.82524,0.71498,0.76305,0.4534,1.43391,0.86252,1.48017,0.000474453,0.000474453,0.000474453
63,1079.32,0.89826,0.78091,1.12295,0.89127,0.68316,0.76051,0.42308,1.55487,0.90434,1.54969,0.000470526,0.000470526,0.000470526
64,1096.81,0.89287,0.77344,1.11978,0.89421,0.70887,0.77364,0.44341,1.48736,0.87019,1.53279,0.000466599,0.000466599,0.000466599
65,1113.96,0.87904,0.76073,1.11485,0.90324,0.6979,0.77586,0.44691,1.4924,0.8921,1.53639,0.000462672,0.000462672,0.000462672
66,1131.83,0.89072,0.7625,1.117,0.89352,0.69056,0.77804,0.45142,1.47318,0.8824,1.4905,0.000458745,0.000458745,0.000458745
67,1148.3,0.87867,0.75294,1.11242,0.88293,0.67037,0.75554,0.45515,1.43065,0.89879,1.46792,0.000454818,0.000454818,0.000454818
68,1164.81,0.88524,0.76087,1.11322,0.87759,0.69796,0.77223,0.4667,1.42178,0.86059,1.46792,0.000450891,0.000450891,0.000450891
69,1181.39,0.87941,0.74991,1.10899,0.89129,0.70298,0.77724,0.45867,1.46707,0.84012,1.53441,0.000446964,0.000446964,0.000446964
70,1197.83,0.86669,0.74418,1.10626,0.86907,0.70984,0.77626,0.48022,1.36373,0.85499,1.43474,0.000443037,0.000443037,0.000443037
71,1214.81,0.87792,0.74342,1.10796,0.86132,0.71363,0.78021,0.44613,1.48828,0.84842,1.51361,0.00043911,0.00043911,0.00043911
72,1231.51,0.87263,0.74914,1.11194,0.8943,0.70758,0.78628,0.48385,1.35337,0.81334,1.42196,0.000435183,0.000435183,0.000435183
73,1248.41,0.87225,0.74252,1.10681,0.88913,0.69319,0.77623,0.46566,1.39728,0.87319,1.45803,0.000431256,0.000431256,0.000431256
74,1266.13,0.87315,0.73798,1.10016,0.88955,0.71567,0.78414,0.45221,1.47177,0.86296,1.5231,0.000427329,0.000427329,0.000427329
75,1284.96,0.87778,0.73873,1.10147,0.91849,0.69252,0.78598,0.47465,1.40912,0.83538,1.4476,0.000423402,0.000423402,0.000423402
76,1303.58,0.8668,0.7356,1.10225,0.91577,0.69409,0.78094,0.46887,1.40408,0.83285,1.46707,0.000419475,0.000419475,0.000419475
77,1321.13,0.85329,0.72433,1.09833,0.9058,0.67913,0.78173,0.45535,1.4352,0.8573,1.48807,0.000415548,0.000415548,0.000415548
78,1339.32,0.85807,0.72403,1.09868,0.86453,0.71224,0.77773,0.46939,1.39232,0.8535,1.44134,0.000411621,0.000411621,0.000411621
79,1358.56,0.85884,0.72133,1.09483,0.86122,0.70267,0.77043,0.47172,1.39048,0.83592,1.44696,0.000407694,0.000407694,0.000407694
80,1377.15,0.85589,0.71871,1.09617,0.89846,0.70959,0.78467,0.4708,1.42321,0.81746,1.47654,0.000403767,0.000403767,0.000403767
81,1395.75,0.84469,0.71209,1.09269,0.86328,0.73208,0.79038,0.48282,1.354,0.8015,1.41315,0.00039984,0.00039984,0.00039984
82,1413.75,0.85055,0.7095,1.09341,0.91487,0.70295,0.79427,0.47305,1.38433,0.81693,1.45259,0.000395913,0.000395913,0.000395913
