epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7948,1.39536,2.792,1.49151,0.49773,0.32693,0.35087,0.16445,1.81519,2.06867,1.78157,0.00023654,0.00023654,0.00023654
2,37.4479,1.29016,1.82552,1.43432,0.58031,0.40887,0.44058,0.1909,1.96046,1.94791,1.88796,0.000469842,0.000469842,0.000469842
3,53.4223,1.2508,1.63987,1.4015,0.56059,0.48136,0.50028,0.22571,1.83714,1.82397,1.81726,0.000698432,0.000698432,0.000698432
4,70.215,1.23257,1.56043,1.37632,0.59448,0.4045,0.42944,0.17673,1.97632,1.88709,1.99167,0.000692794,0.000692794,0.000692794
5,87.0769,1.20572,1.49269,1.35655,0.654,0.50273,0.53561,0.24813,1.8017,1.7605,1.75064,0.000685726,0.000685726,0.000685726
6,102.881,1.19971,1.43666,1.34027,0.73149,0.49881,0.56431,0.26112,1.81402,1.50889,1.77674,0.000678657,0.000678657,0.000678657
7,118.878,1.15989,1.36441,1.3224,0.68775,0.57207,0.60089,0.28911,1.7475,1.48648,1.73899,0.000671588,0.000671588,0.000671588
8,134.674,1.15701,1.34073,1.32282,0.68025,0.55089,0.59317,0.28619,1.71906,1.47661,1.67015,0.00066452,0.00066452,0.00066452
9,150.628,1.13678,1.28487,1.30608,0.76215,0.54709,0.62604,0.31289,1.69864,1.3867,1.6538,0.000657451,0.000657451,0.000657451
10,166.745,1.12423,1.24411,1.28849,0.75859,0.59162,0.63753,0.2991,1.74884,1.39505,1.70886,0.000650383,0.000650383,0.000650383
11,182.573,1.10415,1.21435,1.28033,0.79601,0.56739,0.63712,0.29163,1.73926,1.33572,1.7366,0.000643314,0.000643314,0.000643314
12,198.244,1.10419,1.19261,1.27674,0.80024,0.57188,0.64481,0.34094,1.61256,1.27058,1.62446,0.000636245,0.000636245,0.000636245
13,213.835,1.09732,1.18049,1.26628,0.78477,0.57533,0.62796,0.29627,1.81773,1.36655,1.7548,0.000629177,0.000629177,0.000629177
14,229.517,1.08546,1.14896,1.25781,0.7656,0.59923,0.64467,0.31244,1.72667,1.28654,1.69507,0.000622108,0.000622108,0.000622108
15,245.094,1.08049,1.12728,1.2524,0.81273,0.57197,0.65627,0.32117,1.74793,1.35486,1.68944,0.00061504,0.00061504,0.00061504
16,260.679,1.06356,1.09659,1.24169,0.81968,0.58285,0.67267,0.32977,1.71954,1.20914,1.70244,0.000607971,0.000607971,0.000607971
17,276.251,1.05643,1.09352,1.23836,0.75202,0.59273,0.65231,0.32175,1.75103,1.25055,1.70361,0.000600902,0.000600902,0.000600902
18,291.838,1.05963,1.07898,1.24117,0.79683,0.55953,0.63451,0.31994,1.66192,1.22827,1.66119,0.000593834,0.000593834,0.000593834
19,307.389,1.05185,1.04353,1.22506,0.8161,0.62369,0.69743,0.32961,1.77917,1.24754,1.74459,0.000586765,0.000586765,0.000586765
20,322.924,1.04695,1.04541,1.22928,0.80315,0.64171,0.70497,0.3731,1.63667,1.11914,1.62545,0.000579697,0.000579697,0.000579697
21,338.552,1.03258,1.03167,1.22223,0.84609,0.62911,0.70036,0.36176,1.63569,1.12386,1.61536,0.000572628,0.000572628,0.000572628
22,354.113,1.02514,1.00697,1.21249,0.78692,0.61686,0.68305,0.36248,1.5816,1.11154,1.60182,0.000565559,0.000565559,0.000565559
23,369.742,1.02137,0.99858,1.21586,0.80438,0.61301,0.68221,0.33927,1.71097,1.11853,1.66927,0.000558491,0.000558491,0.000558491
24,385.432,1.01502,0.99285,1.20505,0.82686,0.61723,0.68435,0.3429,1.65019,1.13268,1.61689,0.000551422,0.000551422,0.000551422
25,402.637,1.00825,0.97667,1.20371,0.81465,0.66013,0.71065,0.36716,1.66059,1.07478,1.63056,0.000544354,0.000544354,0.000544354
26,420.682,1.00684,0.97525,1.19868,0.78453,0.64708,0.70161,0.3769,1.55365,1.06364,1.55497,0.000537285,0.000537285,0.000537285
27,438.828,1.00308,0.97157,1.20379,0.8346,0.65012,0.72244,0.37583,1.60079,1.03142,1.59968,0.000530216,0.000530216,0.000530216
28,457.798,1.00505,0.95038,1.19507,0.82586,0.62177,0.70423,0.38167,1.5356,1.05775,1.5328,0.000523148,0.000523148,0.000523148
29,475.097,0.992,0.94369,1.19113,0.78525,0.64238,0.70469,0.38761,1.50757,1.05286,1.53563,0.000516079,0.000516079,0.000516079
30,490.972,0.97553,0.92943,1.18198,0.83831,0.63751,0.72925,0.38053,1.63479,1.03257,1.63235,0.000509011,0.000509011,0.000509011
31,506.575,0.98248,0.92437,1.18126,0.79107,0.66483,0.71637,0.39603,1.50403,1.00887,1.52091,0.000501942,0.000501942,0.000501942
32,522.291,0.96999,0.90729,1.1707,0.88731,0.62934,0.71875,0.37376,1.648,1.01589,1.62939,0.000494873,0.000494873,0.000494873
