epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6421,1.40579,3.16672,1.47366,0.56134,0.31016,0.36422,0.17834,1.72059,2.20053,1.70118,0.00023654,0.00023654,0.00023654
2,55.6061,1.32355,1.95435,1.4404,0.56456,0.43536,0.4483,0.19511,1.94752,1.89546,1.96997,0.00047193,0.00047193,0.00047193
3,76.2774,1.27593,1.68942,1.40723,0.49038,0.42001,0.40579,0.1785,2.00671,1.99617,2.02002,0.000704702,0.000704702,0.000704702
4,96.7323,1.25202,1.59366,1.38157,0.58792,0.48431,0.52107,0.22606,1.93791,1.65606,1.88765,0.000702219,0.000702219,0.000702219
5,117.14,1.22416,1.52344,1.36314,0.71572,0.48785,0.54266,0.24782,1.90794,1.7767,1.87955,0.000698292,0.000698292,0.000698292
6,137.528,1.22968,1.46956,1.35145,0.69595,0.53923,0.58555,0.291,1.76004,1.5043,1.73589,0.000694365,0.000694365,0.000694365
7,157.918,1.18602,1.39735,1.33562,0.68301,0.48888,0.55053,0.26778,1.78729,1.65588,1.76738,0.000690438,0.000690438,0.000690438
8,178.371,1.18003,1.38297,1.33606,0.76371,0.53486,0.60354,0.28829,1.82346,1.4688,1.79329,0.000686511,0.000686511,0.000686511
9,198.77,1.15379,1.32418,1.31388,0.69175,0.53155,0.58786,0.29863,1.67887,1.42581,1.66038,0.000682584,0.000682584,0.000682584
10,219.22,1.14339,1.27884,1.29755,0.75284,0.59309,0.63837,0.30933,1.80011,1.3275,1.74459,0.000678657,0.000678657,0.000678657
11,242.991,1.12867,1.25117,1.294,0.74257,0.56806,0.61631,0.30944,1.77249,1.42471,1.71924,0.00067473,0.00067473,0.00067473
12,263.249,1.11925,1.22122,1.2859,0.75641,0.54814,0.62666,0.32675,1.65128,1.30518,1.65455,0.000670803,0.000670803,0.000670803
