epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,54.1416,1.40692,3.01886,1.4827,0.63751,0.30889,0.33777,0.15149,1.85229,2.22736,1.8229,0.00993865,0.00331288,0.00993865,0.00331288,0.00993865,0.00331288,0.00993865,0.00331288
2,94.6557,1.31558,1.86207,1.43109,0.56314,0.39561,0.38669,0.16083,1.96965,2.15559,1.93775,0.0198729,0.00662428,0.0198729,0.00662428,0.0198729,0.00662428,0.0198729,0.00662428
3,130.846,1.3407,1.76241,1.43224,0.46502,0.42652,0.38801,0.17155,1.91312,2.57555,1.8757,0.0297411,0.00991369,0.0297411,0.00991369,0.0297411,0.00991369,0.0297411,0.00991369
4,166.201,1.35646,1.77145,1.45421,0.4969,0.33856,0.31855,0.11652,2.13953,2.75675,2.13124,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,201.248,1.32697,1.71638,1.44442,0.55384,0.42518,0.42721,0.18042,2.0763,2.01569,2.03374,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,236.643,1.31232,1.63457,1.42198,0.57423,0.42303,0.44568,0.2092,1.83462,2.03352,1.81948,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,271.628,1.27966,1.56206,1.40476,0.61148,0.46644,0.47286,0.19387,2.05898,1.91525,2.04493,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,306.709,1.26549,1.49739,1.38117,0.62907,0.43525,0.49437,0.23905,1.81654,1.66617,1.86572,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,341.68,1.2275,1.45483,1.3699,0.69481,0.47884,0.52715,0.24526,1.94602,1.65435,1.88494,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,376.798,1.2241,1.41582,1.36224,0.67638,0.49842,0.54774,0.25716,1.82619,1.5671,1.78811,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,411.714,1.2146,1.39463,1.35565,0.72996,0.48898,0.55118,0.2445,1.88276,1.55866,1.81842,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,446.732,1.20533,1.35233,1.34108,0.68757,0.46754,0.50615,0.24111,1.87603,1.71915,1.86276,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,480.909,1.18917,1.33302,1.33418,0.66991,0.54206,0.56154,0.25787,1.9268,1.48218,1.89104,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,514.92,1.18142,1.29447,1.32259,0.71049,0.5442,0.59363,0.27075,1.83043,1.43229,1.80865,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,548.726,1.18319,1.28438,1.32258,0.71254,0.56536,0.59672,0.29148,1.78886,1.3854,1.75312,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,582.663,1.17381,1.25787,1.31559,0.73182,0.5231,0.55948,0.27188,1.80577,1.5974,1.81115,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
