epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7034,1.71686,3.32673,1.72873,0.36248,0.3153,0.25932,0.08461,2.27183,2.33105,2.13407,0.00023654,0.00023654,0.00023654
2,80.7303,1.59961,2.19635,1.68644,0.39741,0.33817,0.31945,0.09974,2.32722,2.10359,2.20455,0.00047193,0.00047193,0.00047193
3,115.516,1.53741,1.95384,1.64136,0.54457,0.40827,0.42273,0.14658,2.24187,1.89379,2.13292,0.000704702,0.000704702,0.000704702
4,147.279,1.49803,1.86366,1.61087,0.49943,0.37337,0.34853,0.09987,2.57685,2.14587,2.49201,0.000702219,0.000702219,0.000702219
5,181.466,1.46492,1.80212,1.58558,0.56362,0.46372,0.46097,0.17098,2.19019,2.06919,2.10921,0.000698292,0.000698292,0.000698292
6,214.612,1.43409,1.7391,1.55823,0.60985,0.46614,0.49744,0.17735,2.1646,1.77852,2.05767,0.000694365,0.000694365,0.000694365
7,252.4,1.39846,1.65397,1.53551,0.63748,0.46169,0.5155,0.1845,2.13437,1.70898,2.06742,0.000690438,0.000690438,0.000690438
8,290.743,1.41858,1.65839,1.54498,0.66668,0.47644,0.52345,0.21073,2.06401,1.66058,1.9211,0.000686511,0.000686511,0.000686511
9,326.198,1.37521,1.57944,1.51542,0.67784,0.50004,0.56199,0.22334,2.07619,1.54116,1.96785,0.000682584,0.000682584,0.000682584
10,362.285,1.37255,1.56653,1.51236,0.72624,0.53799,0.60734,0.25469,2.01943,1.46033,1.92714,0.000678657,0.000678657,0.000678657
11,400.296,1.37354,1.53815,1.50468,0.72564,0.5533,0.5959,0.24653,2.02489,1.46034,1.88298,0.00067473,0.00067473,0.00067473
12,438.12,1.34213,1.49862,1.48675,0.69388,0.49904,0.55314,0.23971,1.92433,1.57271,1.82912,0.000670803,0.000670803,0.000670803
13,475.917,1.34968,1.49613,1.49104,0.79088,0.49319,0.58488,0.26631,1.8644,1.46611,1.7476,0.000666876,0.000666876,0.000666876
14,513.112,1.32188,1.46946,1.47314,0.72315,0.53012,0.58465,0.2519,1.99878,1.44313,1.91354,0.000662949,0.000662949,0.000662949
15,549.761,1.31676,1.44724,1.46529,0.71379,0.57826,0.61502,0.2818,1.92666,1.36544,1.78316,0.000659022,0.000659022,0.000659022
16,586.785,1.31397,1.43599,1.45745,0.7302,0.53748,0.59418,0.24602,1.97161,1.45721,1.90064,0.000655095,0.000655095,0.000655095
17,623.775,1.30936,1.41795,1.4549,0.72082,0.53891,0.58377,0.2321,2.12485,1.48632,2.0239,0.000651168,0.000651168,0.000651168
18,660.424,1.30282,1.40275,1.45536,0.70792,0.58995,0.61317,0.26829,2.01026,1.36014,1.86721,0.000647241,0.000647241,0.000647241
19,697.447,1.30291,1.38544,1.44589,0.77114,0.5621,0.62907,0.28107,1.86424,1.35576,1.76347,0.000643314,0.000643314,0.000643314
